id,Window_size,Source_port,Destination_port,First_packet_size,forward_packets,forward_total_bytes,Min_forward_inter_arrival_time_difference,Max_forward_inter_arrival_time_difference,Mean_forward_inter_arrival_time_difference,STD_forward_inter_arrival_time_difference,Mean_forward_packets,STD_forward_packets,backward_packets,backward_total_bytes,Min_backward_inter_arrival_time_difference,Max_backward_inter_arrival_time_difference,Mean_backward_inter_arrival_time_difference,STD_backward_inter_arrival_time_difference,Mean_backward_packets,STD_backward_packets,Mean_backward_TTL_value,Total_packets,Minimum_packet_size,Maximum_packet_size,Mean_packet_size,class,Maximum_backward_packet,Maximum_forward_packet,Minimum_backward_packet,Minimum_forward_packet
1939,8192,51499,443,257.0,10,606,0.002096999999594118,5.8179259999997175,0.8322715555555583,1.8851686634027496,60.6,79.34901805735636,11,5423,4.89999993078527e-05,5973.92705,543.7632379090909,1800.982490231657,493.0,641.7571191658102,64.0,21,20,1440,287.09523809523813,normal,1440.0,257.0,20.0,20.0
1940,8192,51500,443,209.0,10,636,0.0020979999999326533,5.929501999999957,0.8301974444444163,1.9226197249012955,63.6,76.58575440496605,12,7124,4.799999987881165e-05,5973.920104,498.4482158333333,1724.327331227453,593.6666666666666,699.8535344605824,64.0,22,20,1440,352.72727272727275,normal,1440.0,209.0,20.0,20.0
1941,8192,51501,443,214.0,22,1387,0.0016560000003664756,66.50316399999974,9.75442204761904,23.34314740040941,63.04545454545455,65.44025066368867,29,9770,4.3000000005122274e-05,5974.469252000001,213.078411,1108.257704750835,336.8965517241378,555.0823198169792,64.0,51,20,1440,218.7647058823529,normal,1440.0,219.0,20.0,20.0
1942,8192,51503,443,214.0,12,812,0.000503000000207976,0.7858839999998963,0.16049981818187833,0.2582408687425388,67.66666666666667,71.37396180850845,15,5311,6.099999973230297e-05,5975.264202,398.46489673333326,1542.7750767133182,354.06666666666666,572.831372178917,64.0,27,20,1440,226.77777777777766,normal,1440.0,214.0,20.0,20.0
1943,8192,51504,443,537.0,12,1142,0.002531000000089989,50.16737099999954,4.652834727272751,15.095773998108339,95.16666666666669,149.43459094097648,15,5388,7.999999979801942e-05,5980.017135,402.0786068,1543.144137774859,359.2,572.1883056676859,64.0,27,20,1440,241.85185185185185,normal,1440.0,537.0,20.0,20.0
1944,8192,51505,443,537.0,20,1471,0.0021809999998367857,68.06604199999947,10.745301421052654,24.66916024064145,73.55,117.74078352577395,24,5629,8.999999954539817e-05,5980.358435,257.687334125,1219.1270498469705,234.54166666666663,470.905785755464,64.0,44,20,1440,161.36363636363637,normal,1440.0,537.0,20.0,20.0
1945,8192,51506,443,221.0,11,1281,0.002015999999457563,4.696372000000338,0.6258479000000079,1.441318939084147,116.45454545454544,194.818050311753,13,6213,8.299999990413198e-05,5982.172064,460.6403525384615,1659.014351425738,477.92307692307685,618.5113124185714,64.0,24,20,1440,312.25,normal,1440.0,665.0,20.0,20.0
1946,8192,51507,443,537.0,30,2017,0.002539000000069791,10.117654000000584,4.722351241379329,4.940215838237156,67.23333333333333,133.71706705947642,42,24529,3.199999991920777e-05,5989.879453000001,145.87629907142858,923.7547458140468,584.0238095238095,675.8538768357506,64.0,72,20,1440,368.6944444444445,normal,1440.0,537.0,20.0,20.0
1947,8192,51508,443,216.0,11,585,0.0007210000003396999,5.818435999999565,0.7229877000000671,1.8097270477300245,53.18181818181818,65.79182043661382,14,5023,3.3000000257743516e-05,5991.055242,428.44571107142855,1601.0299595131644,358.78571428571433,591.3844485054252,77.64285714285714,25,20,1440,224.32,normal,1440.0,216.0,20.0,20.0
1948,8192,51509,443,216.0,17,1828,0.0028330000004643807,10.154903999999988,3.8872032499999705,4.90296493738016,107.52941176470587,193.5862590833408,21,5893,6.200000007083872e-05,5991.055144,288.2477027142857,1306.6852166392312,280.6190476190476,477.4396795607248,64.0,38,20,1440,203.1842105263157,normal,1440.0,682.0,20.0,20.0
1949,8192,51510,443,537.0,22,1457,0.003682999999909953,10.10033300000032,6.264854190476183,4.899425281094857,66.22727272727273,134.38216003273993,23,3179,0.0035809999999401048,5995.267152,266.38316465217395,1248.8623522819605,138.2173913043478,365.3396870811078,64.0,45,20,1418,103.02222222222224,normal,1418.0,537.0,20.0,20.0
1950,8192,51511,443,253.0,11,1217,0.0026410000000396394,4.728472000000693,0.6116643000000295,1.4529382438969656,110.63636363636364,170.5222992615762,13,6213,8.100000013655517e-05,6022.012178,463.6887857692308,1670.0688897081448,477.92307692307685,618.5113124185714,64.0,24,20,1440,309.5833333333333,normal,1440.0,569.0,20.0,20.0
1951,8192,51512,80,357.0,17,700,0.0008529999995516848,10.094261000000188,7.4689848749999905,4.387236760991638,41.1764705882353,81.43266796418196,16,797,0.004656999999497202,6022.781857,383.8911629375,1503.7093758655865,49.8125,118.18754517009536,64.0,33,20,493,45.36363636363637,normal,493.0,357.0,20.0,20.0
1952,8192,51513,80,417.0,17,760,0.0007100000002537854,10.11526099999992,7.465216062500019,4.39661086526126,44.70588235294117,95.9777088090526,16,789,0.004982999999811,6024.807132,384.0149455625,1504.2164664575596,49.3125,116.18761767073116,64.0,33,20,485,46.93939393939394,normal,485.0,417.0,20.0,20.0
1953,8192,51514,80,421.0,37,2727,0.0006419999999707214,10.094766999999592,3.82577758333332,4.7573423040991845,73.70270270270271,159.18644988134457,73,63725,3.100000049016671e-05,6025.716899,84.43061379452055,705.0433472508098,872.945205479452,663.8349629742103,64.0,110,20,1440,604.1090909090909,normal,1440.0,627.0,20.0,20.0
1954,8192,51515,80,372.0,80,7510,0.0,10.13306999999986,4.191362278481012,4.7722568197893604,93.875,244.3448680798556,213,222071,2.8999999813095204e-05,6027.5161119999975,29.852631713615022,412.90683263390594,1042.586854460094,609.3780375567932,64.0,293,20,1480,783.5529010238907,normal,1440.0,1480.0,20.0,20.0
1955,8192,51516,80,375.0,35,2349,0.001901000000543717,10.110850000000028,4.067619852941173,4.850299770894943,67.11428571428571,132.1825323132353,79,69071,2.8999999813095204e-05,6027.9763619999985,78.05404112658228,678.0111926014042,874.3164556962025,668.7071825603414,64.0,114,20,1440,626.4912280701755,normal,1440.0,486.0,20.0,20.0
1956,8192,51517,80,396.0,57,3386,0.0005149999997229315,10.0987810000006,2.79107082142858,4.369084611191261,59.403508771929815,129.6282954738998,200,224045,2.8999999813095204e-05,6027.981893,30.921369545,426.1951925684032,1120.225,568.0081696409784,64.0,257,20,1440,884.9455252918287,normal,1440.0,635.0,20.0,20.0
1957,8192,51518,80,20.0,4,92,0.013883999999961816,5.805366999999932,1.9450509999999968,3.343131874900036,23.0,6.0,3,64,0.009794000000511005,6027.988957000001,2011.268944,3478.5827792592586,21.33333333333333,2.309401076758503,64.0,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
1958,8192,51519,80,20.0,4,92,0.014420000000427537,5.800847999999862,1.943551666666887,3.3405166495813567,23.0,6.0,3,64,0.0098230000003241,6027.9927259999995,2011.2692329999998,3478.585791793463,21.33333333333333,2.309401076758503,64.0,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
1959,8192,51520,80,294.0,32,937,0.001058000000739412,10.100529999999706,3.8721449354838575,4.89834411912447,29.28125,48.35169168405256,87,88453,3.0000000151630957e-05,6028.224996,70.66949419540232,646.1531283495193,1016.7011494252873,627.6655181488642,64.0,119,20,1440,751.1764705882354,normal,1440.0,294.0,20.0,20.0
1960,8192,51521,80,368.0,35,2838,0.001742999999805761,10.146200000000137,5.382606470588224,4.786141230499324,81.08571428571429,154.13179452674134,48,27420,3.100000049016671e-05,6028.223651,129.40041718749998,869.5498572730057,571.25,653.5236244081575,64.0,83,20,1440,364.5542168674698,normal,1440.0,618.0,20.0,20.0
1961,8192,51522,80,20.0,4,92,0.02032799999960844,6.3261419999998925,2.1224936666667418,3.6404662612601113,23.0,6.0,3,64,0.017786000000342028,6028.545824,2011.630977666667,3478.75173315008,21.33333333333333,2.309401076758503,64.0,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
1962,8192,51523,80,376.0,23,1188,0.002140999999937776,10.095468000000436,5.541025954545439,5.056370764415807,51.65217391304348,101.11946521347551,29,16138,3.400000059627928e-05,6029.135735,212.10418982758617,1118.784939953646,556.4827586206897,686.6235515024462,64.0,52,20,1440,333.1923076923077,normal,1440.0,376.0,20.0,20.0
1963,8192,51524,80,314.0,18,677,0.012622000000192202,10.08509200000026,7.1099487058823705,4.639520456520501,37.611111111111114,69.03037599823368,19,3677,9.000000045489287e-05,6030.170064,323.73825794736837,1381.8835268941607,193.5263157894737,448.38405765358635,64.0,37,20,1440,117.67567567567568,normal,1440.0,314.0,20.0,20.0
1964,8192,51525,80,20.0,4,92,0.00680000000011205,6.458274999999957,2.1626613333331384,3.7201192796617835,23.0,6.0,3,64,0.01840000000083819,6030.174787,2012.2182453333328,3479.6539277036914,21.33333333333333,2.309401076758503,64.0,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
