id,forward_packets,forward_total_bytes,Min_forward_inter_arrival_time_difference,Max_forward_inter_arrival_time_difference,Mean_forward_inter_arrival_time_difference,STD_forward_inter_arrival_time_difference,Mean_forward_packets,STD_forward_packets,backward_packets,backward_total_bytes,Min_backward_inter_arrival_time_difference,Max_backward_inter_arrival_time_difference,Mean_backward_inter_arrival_time_difference,STD_backward_inter_arrival_time_difference,Mean_backward_packets,STD_backward_packets,Mean_backward_TTL_value,Total_packets,Minimum_packet_size,Maximum_packet_size,Mean_packet_size,class,Maximum_backward_packet,Maximum_forward_packet,Minimum_backward_packet,Minimum_forward_packet
2314,4,92,0.009315000000242435,6.548338000000513,2.1890456666666673,3.775257904135515,23.0,6.0,3,64,0.005971000000499771,6595.801932,2200.786576666667,3806.1963549283073,21.333333333333332,2.309401076758503,64,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
2315,4,92,0.012437000000318221,6.534155999999712,2.1871913333334305,3.7645820455819288,23.0,6.0,3,64,0.010231000000203494,6595.828439,2200.7920166666668,3806.21459144725,21.333333333333332,2.309401076758503,64,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
2316,4,92,0.019368000000213215,5.921956999999566,2.0222469999998793,3.377664149623101,23.0,6.0,3,64,0.12195499999961612,6598.465563,2201.5041613333333,3807.881378738581,21.333333333333332,2.309401076758503,64,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
2317,4,92,0.00974099999984901,5.637410000000273,1.9246429999999843,3.2158830065878647,23.0,6.0,3,64,0.12471000000005006,6598.748065,2201.5041253333334,3808.125956715075,21.333333333333332,2.309401076758503,64,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
2318,17,1602,0.012182999999822641,10.089099000000715,7.523993500000017,4.387885012989833,94.23529411764706,300.1656895390787,16,1617,0.02551500000026863,6599.031985,419.962823,1647.7564855236456,101.0625,323.18487356310476,64,33,20,1313,97.54545454545455,normal,1313.0,1259.0,20.0,20.0
2319,4,92,0.008652999999867461,6.329285000000709,2.1177469999999325,3.6473004125946225,23.0,6.0,3,64,0.006142999999610765,6599.074197,2201.8045693333333,3808.1485189319833,21.333333333333332,2.309401076758503,64,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
2320,17,1605,0.004517000000305416,10.070525000000089,7.521280124999976,4.384605639676483,94.41176470588235,300.8932657155044,16,1640,0.007735000000138825,6599.074095,419.9628188125,1647.7677257433681,102.5,328.93484663886454,64,33,20,1336,98.33333333333333,normal,1336.0,1262.0,20.0,20.0
2321,4,92,0.009003999999549706,6.326065999999628,2.1148833333333337,3.646991180681272,23.0,6.0,3,64,0.006027000000358385,6599.075205,2201.8035863333334,3808.150241641155,21.333333333333332,2.309401076758503,64,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
2322,17,1417,0.003171999999722175,10.087807999999313,7.514641062500004,4.357244132038768,83.3529411764706,255.2988300934002,16,772,0.006755000000339351,6600.022582,420.01424525,1648.0068827446757,48.25,111.9377803365185,64,33,20,1074,66.33333333333333,normal,468.0,1074.0,20.0,20.0
2323,17,1711,0.003486999999950058,10.08727799999997,7.4896463124999855,4.384196817773998,100.6470588235294,326.60104507955697,16,956,0.0074049999993803794,6600.5388,420.01357525,1648.144810630724,59.75,157.9364851240312,64,33,20,1368,80.81818181818181,normal,652.0,1368.0,20.0,20.0
